Symbol,Mint,Entry Time (IST),Close Time (IST),Hold Time,Entry Price ($),Exit Price ($),Size (SOL),Realized PNL (SOL),PNL %,TP1 Hit,TP2 Hit,Close Reason,TX Signature
"Immigration","7KTMMhNjKw5PhA1pVfMcDr9iBivQBdU3jkKZwSEPpump","10 Jun, 07:16 pm","10 Jun, 07:17 pm","55s","0.00002524","0.00001819","0.1","-0.027932","-27.93","No","No","Staged SL: -28% in first 2m","5j1eQ6yLvv4VUK2h7hyar7gVLae1k3TCifV7S7LhAdcskJ3gCDfyiFPDW7g4wZo1D1V2uQbmWQFDGDyXnmSjWy9G"
"ΣΤ𐍉𐍈","D4mbUZFRnwSWzq7C1sR5jgBb7UHms9fVJq5BceZNpump","10 Jun, 06:54 pm","10 Jun, 07:02 pm","8m","0.00002566","0.00002877","0.1","0.012120","12.12","No","No","Staged SL: -27% from peak (2-10m)","61iNzp7MUn64doASMBoYQvNwfYFgwPwo8ykvpLKFWoGxnZkndhvvkwJX82t9S6KNbzpcySAA225NfQrZCDs2K5bX"
"HNAT","ELxLnD47aNmqcwUn6KC7pUPmDxWsdyxeVGjJe2zQpump","10 Jun, 06:54 pm","10 Jun, 06:56 pm","2m","0.000019","0.00001674","0.1","-0.011895","-11.89","No","No","Staged SL: -28% from peak (2-10m)","26fVGMqGS1scZ47TejJxiFsatWerhvs6p8CUhidg4JvXbyGB14XmdZdmkFbiBFKKS7zhs9wEWyGWQBgVC1yh5HPk"
"HOARD","D3NJzpkfr8Nh5S4WDXXkFsh9hn5qExsHnoj8ra71pump","10 Jun, 06:53 pm","10 Jun, 07:08 pm","15m","0.00002637","0.00002385","0.1","-0.009556","-9.56","No","No","Staged SL: -31% from peak (>10m)","vUbrjj5v6K7CVS31QP8XiyaJXAqJrfeEK72GmKrvSbuyLgBdEmqKbE6ZpduMscvY5FrMwzxYeCrajfxbFzM8zeo"
"Brötchen","6vcMitr3itPTTGDDBMCwgEMZD167SJgTk8hkvYdqpump","10 Jun, 06:45 pm","10 Jun, 06:50 pm","5m","0.00002259","0.00002114","0.1","-0.006419","-6.42","No","No","Staged SL: -26% from peak (2-10m)","2DrmP8B95yBQqwKGBHRm9jWgmMbgi73tzFDy8wxE2pUXKsf3hCtfx5QLJyBPN1d6pFb8xoSu22TrpTMBffyH11GZ"
"Manga","L4hJsukRLxXcR7rHRsCTtwoZydFQDH621Bx1jvJpump","10 Jun, 06:36 pm","10 Jun, 06:54 pm","18m","0.00002389","0.00003307","0.1","0.038426","38.43","No","No","Staged SL: -32% from peak (>10m)","5uAy2WYx2sueEv76NQj8dhHdt3m4zh4aQVXTmpYMiXAvviusMchQEQnRWquud9ZHzmixrE12FCzBUZTonjJzbJ1d"
"SALT","Hg45Qr91T5ekze7Rog4buMU3MbzTMzN7LCnjptbjnYXG","10 Jun, 06:10 pm","10 Jun, 06:19 pm","8m","0.00004828","0.00007171","0.1","0.048529","48.53","No","No","Staged SL: -36% from peak (2-10m)","5HvHwqoofG5gg8vVsvSMpvSop1h5hrq7naEXXD2gVvHqNkfV11BsXJmjR5P1VwFQAypTgvXV7aFQVdvWhhGCLWJK"
"BULLANA","2jTu3hNwPaPHSHN4yiBjWFhtSnNWAwoe7hR6dnbYpump","10 Jun, 06:07 pm","10 Jun, 06:08 pm","1m","0.0000118","0.00002404","0.1","0.149017","149.02","Yes","No","Staged SL: -36% from TP1 peak","2NchrGgcfahR1Pzp9TogcozrKi82UvtooqSDJcxdhBgLPwirqzGYLm8o5QsCvtU7aE6aBsNUEyjgCNCpxJtVJCa1"
"$WCUP","5mVMJLBq1ebxwWuSZMzzk8CzsMSHkCD9dELeDntRpump","10 Jun, 06:07 pm","10 Jun, 06:24 pm","17m","0.00002641","0.00001996","0.1","-0.024423","-24.42","No","No","Staged SL: -39% from peak (>10m)","63TDVzeSfCEaEK1tNVsEGqk1EuAWAXKdcYVqxh9iTkpGEeKNq3StLiKXwvVtZxTip1ADe2fNuPiJ3QaXDfQLEFXs"
"memecoins","5AgqNjdZ87e5zQomdSEMHphtdd9stnPSgGHMbkv6pump","10 Jun, 06:03 pm","10 Jun, 06:28 pm","25m","0.00003234","0.0001126","0.1","0.276945","276.94","Yes","Yes","Trailing Stop (runner)","4NisMJkec25hhinHoNwMZpvQYQePT8WzcNXUjNjRirkjCmUVocP1UX4zwHa6pXZfYQt23vnwZYvcQfroVJBkLoiV"
